商品名称,商品价格,商品类别,商品类目
NARS 大白饼 蜜粉饼,400.00,蜜粉饼,彩妆/香水/美妆工具
Tom Ford 汤姆福特幻魅四色眼影盘,890.00,眼影,彩妆/香水/美妆工具
Urban Decay 衰败城市 Naked Heat 眼影盘,420.00,眼影,彩妆/香水/美妆工具
MAC 魅可子弹头口红,190.00,口红,彩妆/香水/美妆工具
Dior 迪奥999口红,380.00,口红,彩妆/香水/美妆工具
Chanel 香奈儿58号口红,380.00,口红,彩妆/香水/美妆工具
YSL 圣罗兰小金条口红,390.00,口红,彩妆/香水/美妆工具
娇兰 金钻修颜粉饼,720.00,粉饼,彩妆/香水/美妆工具
植村秀 砍刀眉笔,200.00,眉笔,彩妆/香水/美妆工具
Benefit 贝玲妃反恐精英毛孔隐形膏,330.00,妆前乳,彩妆/香水/美妆工具
CPB 肌肤之钥隔离霜,600.00,隔离霜,彩妆/香水/美妆工具
La Prairie 莱珀妮鱼子酱眼霜 20ml,2550.00,眼霜,美容护肤
Estee Lauder 雅诗兰黛小棕瓶眼霜 15ml,530.00,眼霜,美容护肤
Lancome 兰蔻发光眼霜 15ml,530.00,眼霜,美容护肤
SK-II 大眼眼霜 15g,620.00,眼霜,美容护肤
Shiseido 资生堂悦薇眼霜 15ml,580.00,眼霜,美容护肤
Fresh 馥蕾诗玫瑰面膜 100ml,520.00,面膜,美容护肤
SK-II 前男友面膜 10片,740.00,面膜,美容护肤
Dr. Jart+ 蒂佳婷蓝药丸面膜 10片,230.00,面膜,美容护肤
AHC 玻尿酸面膜 5片,120.00,面膜,美容护肤
御泥坊 泥浆面膜 260g,129.00,面膜,美容护肤
Olay 玉兰油小白瓶精华 30ml,299.00,精华,美容护肤
The Ordinary 烟酰胺精华 30ml,68.00,精华,美容护肤
Cerave 适乐肤C乳 236ml,128.00,乳液,美容护肤
Cetaphil 丝塔芙洗面奶 591ml,128.00,洗面奶,美容护肤
Neutrogena 露得清A醇晚霜 40g,139.00,晚霜,美容护肤
La Roche-Posay 理肤泉B5修复霜 100ml,128.00,面霜,美容护肤
Nike Air Zoom Pegasus 41 跑步鞋,899.00,跑步鞋,运动鞋包
Adidas Ultraboost 23 跑步鞋,1099.00,跑步鞋,运动鞋包
Asics Gel-Kayano 30 跑步鞋,1390.00,跑步鞋,运动鞋包
New Balance 1080v13 跑步鞋,1299.00,跑步鞋,运动鞋包
Saucony Triumph 21 跑步鞋,1299.00,跑步鞋,运动鞋包
Brooks Ghost 15 跑步鞋,1299.00,跑步鞋,运动鞋包
Nike React Infinity Run 4 跑步鞋,1099.00,跑步鞋,运动鞋包
Adidas Solarboost 5 跑步鞋,1199.00,跑步鞋,运动鞋包
Under Armour HOVR Sonic 6 跑步鞋,899.00,跑步鞋,运动鞋包
Puma Deviate Nitro 2 跑步鞋,999.00,跑步鞋,运动鞋包
Columbia 哥伦比亚 冲锋衣,1999.00,冲锋衣,户外装备
The North Face 北面 冲锋衣,2498.00,冲锋衣,户外装备
Arc'teryx 始祖鸟 Beta AR 冲锋衣,8200.00,冲锋衣,户外装备
Patagonia 巴塔哥尼亚 冲锋衣,4999.00,冲锋衣,户外装备
Mammut 猛犸象 冲锋衣,3999.00,冲锋衣,户外装备
Jack Wolfskin 狼爪 冲锋衣,1599.00,冲锋衣,户外装备
探路者 冲锋衣,999.00,冲锋衣,户外装备
迪卡侬 冲锋衣,499.00,冲锋衣,户外装备
骆驼 冲锋衣,599.00,冲锋衣,户外装备
伯希和 冲锋衣,699.00,冲锋衣,户外装备
Nike Pro 运动紧身裤,499.00,紧身裤,运动服饰
Adidas Alphaskin 运动紧身裤,399.00,紧身裤,运动服饰
Under Armour HeatGear 运动紧身裤,449.00,紧身裤,运动服饰
Lululemon Align 瑜伽裤,850.00,瑜伽裤,运动服饰
Nike Dri-FIT 运动T恤,299.00,运动T恤,运动服饰
Adidas Climalite 运动T恤,249.00,运动T恤,运动服饰
Under Armour Tech 运动T恤,299.00,运动T恤,运动服饰
李宁 运动T恤,199.00,运动T恤,运动服饰
安踏 运动T恤,159.00,运动T恤,运动服饰
特步 运动T恤,129.00,运动T恤,运动服饰
瑜伽垫 183cm*61cm,199.00,瑜伽垫,健身器材
哑铃套装 2.5kg*2,129.00,哑铃,健身器材
跑步机 家用款,2999.00,跑步机,健身器材
椭圆机 家用款,3999.00,椭圆机,健身器材
动感单车 家用款,1999.00,动感单车,健身器材
划船机 家用款,4999.00,划船机,健身器材
仰卧板 家用款,399.00,仰卧板,健身器材
弹力带 阻力带,59.00,弹力带,健身器材
跳绳 计数跳绳,39.90,跳绳,健身器材
